"name", "shares", "value_of_shares_in_thousands_usd", "date_recorded"
"Gofen & Glossberg LLC IL", 499220, 16215, "12/31/2016"
"Davidson Investment Advisors", 497996, 16173, "12/31/2016"
"Community Trust & Investment Co.", 497621, 16163, "12/31/2016"
"Sentry Investment Management LLC", 497038, 16144, "12/31/2016"
"Azimuth Capital Management LLC", 496420, 16124, "12/31/2016"
"Capital Fund Management S.A.", , 16031, "12/31/2016"
"Davy Asset Management Ltd", 429635, 16017, "12/31/2016"
"Gamco Investors INC. ET AL", 490448, 15930, "12/31/2016"
"Logan Capital Management Inc.", 489577, 15902, "12/31/2016"
"Bridgeway Capital Management Inc.", 488919, 15880, "12/31/2016"
"CMT Asset Management Ltd", , 15721, "12/31/2016"
"Raymond James Trust N.A.", 483889, 15717, "12/31/2016"
"SkyBridge Capital II LLC", 483143, 15692, "12/31/2016"
"State of Alaska Department of Revenue", 475820, 15454, "12/31/2016"
"Gareth Morgan Investments Limited Partnership", 470968, 15297, "12/31/2016"
"Pennsylvania Trust Co", 467931, 15198, "12/31/2016"
"Taurus Asset Management LLC", 463883, 15067, "12/31/2016"
"LS Investment Advisors LLC", 463773, 15063, "12/31/2016"
"General American Investors Co. Inc.", 460808, 14967, "12/31/2016"
"Arvest Bank Trust Division", 460093, 14944, "12/31/2016"
"John G Ullman & Associates Inc.", 459344, 14919, "12/31/2016"
"Bruce & Co. Inc.", 455332, 14789, "12/31/2016"
"Bank of Nova Scotia", 454256, 14752, "12/31/2016"
"Williams Jones & Associates LLC", 451560, 14667, "12/31/2016"
"Liberty Mutual Group Asset Management Inc.", 450621, 14636, "12/31/2016"
"Regentatlantic Capital LLC", 448442, 14565, "12/31/2016"
"Kentucky Retirement Systems", 440347, 14302, "12/31/2016"
"Twin Capital Management Inc.", 439410, 14272, "12/31/2016"
"Godsey & Gibb Associates", 425223, 13811, "12/31/2016"
"Mayo Investment Advisers LLC", 421475, 13690, "12/31/2016"
"Estabrook Capital Management", 420085, 13644, "12/31/2016"
"Jones Financial Companies Lllp", 419255, 13617, "12/31/2016"
"Amalgamated Bank", 417054, 13546, "12/31/2016"
"Cypress Capital Management LLC", 414745, 13471, "12/31/2016"
"Private Advisor Group LLC", 410330, 13471, "12/31/2016"
"FDx Advisors Inc.", 414312, 13457, "12/31/2016"
"Heritage Investors Management Corp", 410968, 13348, "12/31/2016"
"Oakbrook Investments LLC", 410873, 13345, "12/31/2016"
"Systematic Financial Management LP", 408545, 13270, "12/31/2016"
"Capital One National Association", 404512, 13139, "12/31/2016"
"Bbva Compass Bancshares Inc.", 403159, 13094, "12/31/2016"
"Busey Trust CO", 402504, 13074, "12/31/2016"
"Bradley Foster & Sargent Inc. CT", 400607, 13012, "12/31/2016"
"Chubb Ltd", 400000, 12992, "12/31/2016"
"FineMark National Bank & Trust", 397217, 12901, "12/31/2016"
"UMB Bank N A MO", 394996, 12829, "12/31/2016"
"Cincinnati Financial Corp", 394000, 12797, "12/31/2016"
"Cadence Capital Management LLC", 388636, 12623, "12/31/2016"
"Advisor Group Inc.", 398470, 12622, "12/31/2016"
"Inverness Counsel LLC NY", 398448, 12619, "12/31/2016"
"Investec Asset Management PTY Ltd", 386097, 12552, "12/31/2016"
"Icon Advisers Inc. Co.", 385200, 12511, "12/31/2016"
"Wesbanco Bank Inc.", 383639, 12461, "12/31/2016"
"Numeric Investors LLC", 382800, 12433, "12/31/2016"
"Veritable L.P.", 382689, 12430, "12/31/2016"
"Louisiana State Employees Retirement System", 381600, 12394, "12/31/2016"
"Thompson Siegel & Walmsley LLC", 381271, 12384, "12/31/2016"
"Capital Advisors Inc. OK", 378726, 12301, "12/31/2016"
"Foyston Gordon & Payne Inc", 372127, 12087, "12/31/2016"
"Stephens Inc. AR", 371919, 12080, "12/31/2016"
"Stillwater Capital Advisors LLC", 370634, 12038, "12/31/2016"
"KLCM Advisors Inc.", 370183, 12024, "12/31/2016"
"Essex Financial Services Inc.", 367681, 11942, "12/31/2016"
"First Citizens Bank & Trust Co.", 366686, 11910, "12/31/2016"
"Great Lakes Advisors LLC", 365782, 11881, "12/31/2016"
"Meiji Yasuda Asset Management Co Ltd.", 365597, 11875, "12/31/2016"
"Park National Corp OH", 365597, 11874, "12/31/2016"
"Charter Trust Co.", 364730, 11846, "12/31/2016"
"NS Partners Ltd", 363804, 11816, "12/31/2016"
"Ledyard National Bank", 363735, 11814, "12/31/2016"
"Caledonia Investments PLC", 359000, 11660, "12/31/2016"
"Brown Brothers Harriman & Co.", 357161, 11601, "12/31/2016"
"GLG LLC", 355551, 11548, "12/31/2016"
"Decatur Capital Management Inc.", 354900, 11527, "12/31/2016"
"Edge Wealth Management LLC", 354632, 11517, "12/31/2016"
"Fort Washington Investment Advisors Inc. OH", 353722, 11489, "12/31/2016"
"Paulson & CO. Inc.", 352200, 11439, "12/31/2016"
"Oxbow Advisors LLC", 350870, 11388, "12/31/2016"
"Westwood Holdings Group Inc.", 350214, 11375, "12/31/2016"
"Profund Advisors LLC", 350052, 11370, "12/31/2016"
"EverPoint Asset Management LLC", 350000, 11368, "12/31/2016"
"Commonwealth of Pennsylvania Public School Empls Retrmt SYS", 347868, 11299, "12/31/2016"
"Marble Harbor Investment Counsel LLC", 347524, 11288, "12/31/2016"
"Highland Capital Management LLC", 342223, 11115, "12/31/2016"
"Lawson Kroeker Investment Management Inc. NE", 340689, 11066, "12/31/2016"
"Howe & Rusling Inc.", 339062, 11013, "12/31/2016"
"Alpine Woods Capital Investors LLC", 334781, 10874, "12/31/2016"
"Salem Investment Counselors Inc.", 333440, 10830, "12/31/2016"
"Rhenman & Partners Asset Management AB", 333300, 10826, "12/31/2016"
"MSI Financial Services Inc", 332353, 10795, "12/31/2016"
"Boston Advisors LLC", 331784, 10776, "12/31/2016"
"Amica Mutual Insurance Co.", 331444, 10765, "12/31/2016"
"Cetera Advisor Networks LLC", 332482, 10754, "12/31/2016"
"Ffcm LLC", 326533, 10608, "12/31/2016"
"First Long Island Investors LLC", 323871, 10519, "12/31/2016"
"Hollow Brook Wealth Management LLC", 323812, 10517, "12/31/2016"
"Allstate Corp", 321529, 10443, "12/31/2016"
"Buckhead Capital Management LLC", 320706, 10417, "12/31/2016"
"Forbes J M & Co. LLP", 319949, 10391, "12/31/2016"
"Nexthera Capital LP", 318051, 10330, "12/31/2016"
"BRYN MAWR TRUST Co", 317361, 10308, "12/31/2016"
"WASHINGTON TRUST Co", 315649, 10253, "12/31/2016"
"Daiwa Securities Group Inc.", 314511, 10215, "12/31/2016"
"Archon Partners LLC", 313000, 10166, "12/31/2016"
"Boltwood Capital Management", 311965, 10132, "12/31/2016"
"Advisor Consultant Network Inc.", 297150, 10065, "09/30/2016"
"Fulton Breakefield Broenniman LLC", 309625, 10057, "12/31/2016"
"Country Club Trust Company n.a.", 308749, 10028, "12/31/2016"
"Osborne Partners Capital Management LLC", 308605, 10023, "12/31/2016"
"Barry Investment Advisors LLC", 307537, 9989, "12/31/2016"
"Cullinan Associates Inc.", 306383, 9951, "12/31/2016"
"Compagnie Lombard Odier SCmA", 305476, 9920, "12/31/2016"
"Chemical Bank", 305398, 9919, "12/31/2016"
"Cullen Frost Bankers Inc.", 304653, 9895, "12/31/2016"
"Klingenstein Fields & Co. LLC", 303709, 9864, "12/31/2016"
"Reilly Financial Advisors LLC", 302336, 9820, "12/31/2016"
"Campbell Newman Asset Management Inc.", 301335, 9787, "12/31/2016"
"Financial Partners Capital Management LLC", 300984, 9776, "12/31/2016"
"Clough Capital Partners L P", 294400, 9562, "12/31/2016"
"Flippin Bruce & Porter Inc.", 294308, 9559, "12/31/2016"
"Chesley Taft & Associates LLC", 292895, 9513, "12/31/2016"
"Bruderman Asset Management LLC", 292262, 9493, "12/31/2016"
"10 15 Associates Inc.", 291282, 9460, "12/31/2016"
"Whittier Trust Co. of Nevada Inc.", 290829, 9444, "12/31/2016"
"Rothschild Investment Corp IL", 290701, 9442, "12/31/2016"
"Walleye Trading LLC", , 9408, "12/31/2016"
"Foster & Motley Inc.", 289262, 9395, "12/31/2016"
"Strategy Asset Managers LLC", 299044, 9363, "12/31/2016"
"Hennessy Advisors Inc.", 287400, 9335, "12/31/2016"
"HGK Asset Management Inc.", 286209, 9296, "12/31/2016"
"KCM Investment Advisors LLC", 285719, 9280, "12/31/2016"
"Ally Financial Inc.", 285000, 9257, "12/31/2016"
"Bowling Portfolio Management LLC", 284524, 9241, "12/31/2016"
"Horan Capital Management", 284039, 9225, "12/31/2016"
"Bridgewater Associates LP", 282200, 9166, "12/31/2016"
"IFP Advisors Inc", 281525, 9144, "12/31/2016"
"Columbus Hill Capital Management L.P.", 280000, 9094, "12/31/2016"
"First Allied Advisory Services Inc.", 278950, 9060, "12/31/2016"
"Greystone Managed Investments Inc.", 278643, 9050, "12/31/2016"
"O Shaughnessy Asset Management LLC", 150774, 9022, "12/31/2016"
"Usca Ria LLC", 277439, 9011, "12/31/2016"
"DAVENPORT & Co LLC", 277179, 9002, "12/31/2016"
"Jones Collombin Investment Counsel Inc", 276500, 8981, "12/31/2016"
"Tdam USA Inc.", 274828, 8926, "12/31/2016"
"Callahan Advisors LLC", 274158, 8905, "12/31/2016"
"FUKOKU MUTUAL LIFE INSURANCE Co", 273354, 8879, "12/31/2016"
"Sheaff Brock Investment Advisors LLC", 272701, 8857, "12/31/2016"
"Chilton Capital Management LLC", 269828, 8764, "12/31/2016"
"Shelter Mutual Insurance Co", 269500, 8753, "12/31/2016"
"Municipal Employees Retirement System of Michigan", 269110, 8741, "12/31/2016"
"Wilkins Investment Counsel Inc.", 269073, 8739, "12/31/2016"
"LVM Capital Management Ltd. MI", 265298, 8617, "12/31/2016"
"First National Bank of Omaha", 263243, 8551, "12/31/2016"
"Pensionfund DSM Netherlands", 261300, 8487, "12/31/2016"
"Massmutual Trust Co. FSB ADV", 260966, 8476, "12/31/2016"
"Rand Wealth LLC", 260964, 8476, "12/31/2016"
"BLB&B Advisors LLC", 259566, 8431, "12/31/2016"
"J.P. Marvel Investment Advisors LLC", 259244, 8420, "12/31/2016"
"Salient Trust Co. LTA", 252469, 8200, "12/31/2016"
"Banco Santander S.A.", 270454, 8193, "12/31/2016"
"Handelsbanken Fonder AB", 251630, 8173, "12/31/2016"
"Healthcare Value Capital LLC", 250000, 8120, "12/31/2016"
"Cypress Asset Management Inc. TX", 249918, 8117, "12/31/2016"
"Waters Parkerson & CO. LLC", 249920, 8117, "12/31/2016"
"Brookfield Asset Management Inc.", 248395, 8068, "12/31/2016"
"Amica Pension Fund Board of Trustees", 248208, 8062, "12/31/2016"
"North Star Asset Management Inc.", 247760, 8047, "12/31/2016"
"Palisade Capital Management LLC NJ", 247134, 8027, "12/31/2016"
"BTR Capital Management Inc.", 236560, 8012, "12/31/2016"
"Northern Oak Wealth Management Inc.", 245675, 7980, "12/31/2016"
"Ancora Advisors LLC", 244016, 7926, "12/31/2016"
"Trust Co. of Vermont", 243517, 7910, "12/31/2016"
"Wasatch Advisors Inc.", 242965, 7892, "12/31/2016"
"Aviance Capital Management LLC", 242848, 7888, "12/31/2016"
"Grassi Investment Management", 241907, 7857, "12/31/2016"
"Palouse Capital Management Inc.", 239465, 7778, "12/31/2016"
"Squarepoint Ops LLC", 239342, 7774, "12/31/2016"
"Mariner Wealth Advisors LLC", 239301, 7773, "12/31/2016"
"Brinker Capital Inc.", 238328, 7741, "12/31/2016"
"Parsons Capital Management Inc. RI", 238122, 7734, "12/31/2016"
"Cincinnati Casualty Co.", 236400, 7678, "12/31/2016"
"Heartland Advisors Inc.", 236167, 7671, "12/31/2016"
"Mechanics Bank Trust Department", 234670, 7622, "12/31/2016"
"Beddow Capital Management Inc.", 234450, 7615, "12/31/2016"
"CWM LLC", 234318, 7611, "12/31/2016"
"Investment Centers of America Inc.", 233621, 7554, "12/31/2016"
"Harel Insurance Investments & Financial Services Ltd.", 221170, 7489, "12/31/2016"
"NBT Bank N A NY", 230369, 7482, "12/31/2016"
"Cigna Investments Inc. New", 229646, 7459, "12/31/2016"
"Baker Chad R", 229246, 7446, "12/31/2016"
"Continental Advisors LLC", 228601, 7425, "12/31/2016"
"PineBridge Investments L.P.", 227738, 7397, "12/31/2016"
"Connors Investor Services Inc.", 227510, 7390, "12/31/2016"
"Grisanti Capital Management LLC", 225905, 7337, "12/31/2016"
"Guardian Capital LP", 225484, 7324, "12/31/2016"
"Badgley Phelps & Bell Inc.", 225270, 7317, "12/31/2016"
"ProVise Management Group LLC", 224359, 7288, "12/31/2016"
"Ropes Wealth Advisors LLC", 224203, 7282, "12/31/2016"
"Evercore Wealth Management LLC", 223015, 7243, "12/31/2016"
"Hampstead Capital LLP", 222700, 7233, "12/31/2016"
"Beacon Financial Group", 222348, 7221, "12/31/2016"
"Steinberg Global Asset Management", 221718, 7201, "12/31/2016"
"Dynamic Capital Management Ltd", 221218, 7185, "12/31/2016"
"LPL Financial LLC", 217237, 7168, "12/31/2016"
"Sumitomo Life Insurance Co.", 220598, 7165, "12/31/2016"
"ARS Investment Partners LLC", 220220, 7153, "12/31/2016"
"Loews Corp", , 7135, "12/31/2016"
"First Quadrant L P CA", 219330, 7124, "12/31/2016"
"Tower Bridge Advisors", 218312, 7091, "12/31/2016"
"Origin Asset Management LLP", 217600, 7068, "12/31/2016"
"Schaper Benz & Wise Investment Counsel Inc. WI", 217562, 7066, "12/31/2016"
"Chemung Canal Trust Co.", 217153, 7053, "12/31/2016"
"South State Corp", 216812, 7042, "12/31/2016"
"Geneva Advisors LLC", 214892, 6980, "12/31/2016"
"Her Majesty the Queen in Right of the Province of Alberta as represented by Alberta Investment Management Corp", 214700, 6973, "12/31/2016"
"Dowling & Yahnke LLC", 214245, 6959, "12/31/2016"
"Point72 Asset Management L.P.", 214100, 6954, "12/31/2016"
"Channing Capital Management LLC", 213661, 6940, "12/31/2016"
"Round Hill Asset Management", 213500, 6937, "12/31/2016"
"Cheviot Value Management LLC", 212517, 6903, "12/31/2016"
"Tokio Marine Asset Management Co. Ltd.", 212153, 6891, "12/31/2016"
"Patriot Wealth Management Inc.", 211955, 6884, "12/31/2016"
"SNS Financial Group LLC", 211427, 6867, "12/31/2016"
"Convergence Investment Partners LLC", 210648, 6842, "12/31/2016"
"Fairfax Financial Holdings Ltd Can", 210000, 6823, "12/31/2016"
"Mizuho Asset Management Co. Ltd.", 199187, 6746, "09/30/2016"
"Assenagon Asset Management S.A.", 207292, 6733, "12/31/2016"
"Matrix Asset Advisors Inc. NY", 205742, 6683, "12/31/2016"
"Bank of Hawaii", 205317, 6669, "12/31/2016"
"Apriem Advisors", 205017, 6659, "12/31/2016"
"Evanston Investments Inc. dba Evanston Advisors", 205017, 6659, "12/31/2016"
"Lehman Financial Resources Inc.", 204971, 6657, "12/31/2016"
"Jacobs & Co. CA", 204833, 6652, "12/31/2016"
"Kings Point Capital Management", 204602, 6645, "12/31/2016"
"Novare Capital Management LLC", 204130, 6630, "12/31/2016"
"Salem Capital Management Inc.", 203799, 6619, "12/31/2016"
"Paloma Partners Management Co", , 6618, "12/31/2016"
"Markston International LLC", 203389, 6607, "12/31/2016"
"Neville Rodie & Shaw Inc.", 201446, 6543, "12/31/2016"
"Neuburgh Advisers LLC", 201178, 6534, "12/31/2016"
"Community Financial Services Group LLC", 199783, 6489, "12/31/2016"
"Goelzer Investment Management Inc.", 199076, 6466, "12/31/2016"
"Fort Pitt Capital Group LLC", 197669, 6420, "12/31/2016"
"Hunter Associates Investment Management LLC", 197438, 6413, "12/31/2016"
"Phocas Financial Corp.", 196972, 6398, "12/31/2016"
"Endurance Wealth Management Inc.", 196487, 6381, "12/31/2016"
"Kentucky Retirement Systems Insurance Trust Fund", 196468, 6381, "12/31/2016"
"PDT Partners LLC", 196300, 6376, "12/31/2016"
"Psagot Investment House Ltd.", 195830, 6361, "12/31/2016"
"Johnson Financial Group Inc.", 195071, 6335, "12/31/2016"
"Capital Investment Advisors LLC", 194969, 6333, "12/31/2016"
"Calamos Wealth Management LLC", 194589, 6320, "12/31/2016"
"Catawba Capital Management VA", 194351, 6313, "12/31/2016"
"Patten & Patten Inc. TN", 194328, 6312, "12/31/2016"
"PEAK6 Investments L.P.", , 6302, "12/31/2016"
"Moors & Cabot Inc.", 194693, 6298, "12/31/2016"
"Cornerstone Advisors Inc.", 193700, 6291, "12/31/2016"
"Baker Avenue Asset Management LP", 193389, 6281, "12/31/2016"
"Brookstone Capital Management", 192277, 6245, "12/31/2016"
"Glenview Trust Co", 192131, 6241, "12/31/2016"
"Montag A & Associates Inc.", 191055, 6205, "12/31/2016"
"ETRADE Capital Management LLC", 190957, 6203, "12/31/2016"
"Capstone Asset Management Co.", 190117, 6175, "12/31/2016"
"Choate Investment Advisors", 190034, 6172, "12/31/2016"
"Clarkston Capital Partners LLC", 189296, 6148, "12/31/2016"
"Opus Investment Management Inc.", 188000, 6106, "12/31/2016"
"Cypress Capital Group", 187399, 6087, "12/31/2016"
"Strategic Global Advisors LLC", 185585, 6028, "12/31/2016"
"Cambridge Trust Co.", 185510, 6025, "12/31/2016"
"Kanawha Capital Management LLC", 184574, 5995, "12/31/2016"
"Venturi Wealth Management LLC", 184309, 5986, "12/31/2016"
"Private Capital Advisors Inc.", 183824, 5971, "12/31/2016"
"Adell Harriman & Carpenter Inc.", 183734, 5968, "12/31/2016"
"Greenleaf Trust", 182893, 5940, "12/31/2016"
"First American Bank", 182129, 5915, "12/31/2016"
"First Financial Bank N.A. Trust Division", 180344, 5857, "12/31/2016"
"Birmingham Capital Management Co. Inc. AL", 179987, 5846, "12/31/2016"
"Fiduciary Financial Services of The Southwest Inc. TX", 179556, 5832, "12/31/2016"
"WINTON GROUP Ltd", 179497, 5830, "12/31/2016"
"Excalibur Management Corp", 179213, 5821, "12/31/2016"
"Keystone Financial Planning Inc.", 178697, 5804, "12/31/2016"
"CCM Investment Advisers LLC", 178613, 5801, "12/31/2016"
"Lincluden Management Ltd.", 171116, 5796, "09/30/2016"
"Westchester Capital Management Inc.", 177587, 5768, "12/31/2016"
"Roosevelt Investment Group Inc.", 177359, 5761, "12/31/2016"
"Ray Gerald L & Associates Ltd.", 177286, 5758, "12/31/2016"
"Gilman Hill Asset Management LLC", 177081, 5752, "12/31/2016"
"Meeder Asset Management Inc.", 175969, 5716, "12/31/2016"
"Cleararc Capital Inc.", 175788, 5710, "12/31/2016"
"Alerus Financial NA", 175730, 5707, "12/31/2016"
"Simmons Bank", 175238, 5692, "12/31/2016"
"Transamerica Financial Advisors Inc.", 174765, 5677, "12/31/2016"
"Meiji Yasuda Life Insurance Co", 174169, 5657, "12/31/2016"
"Nuveen Fund Advisors LLC", 173542, 5637, "12/31/2016"
"Webster Bank N. A.", 173498, 5635, "12/31/2016"
"Hudson Valley Investment Advisors Inc. ADV", 173011, 5619, "12/31/2016"
"Cubic Asset Management LLC", 172887, 5615, "12/31/2016"
"Canandaigua National Bank & Trust Co.", 172547, 5603, "12/31/2016"
"Lee Danner & Bass Inc.", 172021, 5587, "12/31/2016"
"Verity & Verity LLC", 171497, 5570, "12/31/2016"
"Genovese Burford & Brothers Wealth & Retirement Plan Management LLC", 170729, 5546, "12/31/2016"
"Cowen Prime Services LLC", 170200, 5528, "12/31/2016"
"Davidson & Garrard Inc.", 169635, 5510, "12/31/2016"
"Barings LLC", 168442, 5471, "12/31/2016"
"Peapack Gladstone Financial Corp", 168090, 5460, "12/31/2016"
"Beacon Trust Co.", 167843, 5452, "12/31/2016"
"Ionic Capital Management LLC", , 5450, "12/31/2016"
"Lynch & Associates IN", 167602, 5444, "12/31/2016"
"Covington Capital Management", 167470, 5439, "12/31/2016"
"Centre Asset Management LLC", 166720, 5415, "12/31/2016"
"American Investment Services Inc.", 166617, 5407, "12/31/2016"
"Marco Investment Management LLC", 166086, 5394, "12/31/2016"
"Canal Insurance CO", 166050, 5393, "12/31/2016"
"Flinton Capital Management LLC", 165676, 5381, "12/31/2016"
"CNA Financial Corp", 165491, 5375, "12/31/2016"
"Oakworth Capital Inc.", 167116, 5369, "12/31/2016"
"Advisors Capital Management LLC", 164816, 5353, "12/31/2016"
"Lebenthal Asset Management LLC", 164776, 5352, "12/31/2016"
"Gradient Investments LLC", 164678, 5349, "12/31/2016"
"Hourglass Capital LLC", 164559, 5345, "12/31/2016"
"Bank of The West", 164508, 5343, "12/31/2016"
"Atria Investments LLC", 164429, 5341, "12/31/2016"
"Johnson Investment Counsel Inc.", 164431, 5340, "12/31/2016"
"Greenwood Capital Associates LLC", 163903, 5324, "12/31/2016"
"Bartlett & Co. LLC", 163572, 5313, "12/31/2016"
"Moab Capital Partners LLC", 163275, 5303, "12/31/2016"
"USS Investment Management Ltd", 161500, 5248, "12/31/2016"
"Boys Arnold & Co. Inc.", 161516, 5246, "12/31/2016"
"Iberiabank Corp", 161088, 5232, "12/31/2016"
"Argyle Capital Management Inc.", 160601, 5216, "12/31/2016"
"Argent Trust Co", 158741, 5156, "12/31/2016"
"1ST Source Bank", 158530, 5149, "12/31/2016"
"Shelton Capital Management", 157946, 5130, "12/31/2016"
"Sii Investments Inc. WI", 158488, 5126, "12/31/2016"
"Garland Capital Management Inc.", 157732, 5123, "12/31/2016"
"Barbara Oil Co.", 157488, 5115, "12/31/2016"
"Parthenon LLC", 157414, 5113, "12/31/2016"
"Woodstock Corp", 157255, 5108, "12/31/2016"
"Pineno Levin & Ford Asset Management Inc.", 155954, 5065, "12/31/2016"
"White Pine Investment CO", 155398, 5047, "12/31/2016"
"American National Bank", 155244, 5042, "12/31/2016"
"Barrett Asset Management LLC", 154940, 5032, "12/31/2016"
"Citizens Financial Group Inc RI", 154549, 5021, "12/31/2016"
"Wellington Shields Capital Management LLC", 154231, 5009, "12/31/2016"
"Arrow Financial Corp", 154027, 5003, "12/31/2016"
"Stock Yards Bank & Trust Co.", 154005, 5002, "12/31/2016"
"Greenwood Gearhart Inc.", 152671, 4959, "12/31/2016"
"Menta Capital LLC", 151316, 4915, "12/31/2016"
"First American Trust FSB", 151275, 4914, "12/31/2016"
"Northeast Investment Management", 151023, 4905, "12/31/2016"
"Bragg Financial Advisors Inc", 150540, 4890, "12/31/2016"
"Raab & Moskowitz Asset Management LLC", 150582, 4890, "12/31/2016"
"Meritage Portfolio Management", 150498, 4889, "12/31/2016"
"Wedbush Securities Inc.", 149769, 4864, "12/31/2016"
"Mn Services Vermogensbeheer B.V.", 157692, 4856, "12/31/2016"
"Hawkins Capital L.P.", 149000, 4839, "12/31/2016"
"Pacer Advisors Inc.", 148492, 4823, "12/31/2016"
"Beach Investment Counsel Inc. PA", 148304, 4817, "12/31/2016"
"Pettee Investors Inc.", 148235, 4814, "12/31/2016"
"Ameritas Investment Partners Inc.", 148218, 4813, "12/31/2016"
"Riverhead Capital Management LLC", 147959, 4805, "12/31/2016"
"Eastern Bank", 147884, 4803, "12/31/2016"
"Carroll Financial Associates Inc.", 147775, 4799, "12/31/2016"
"DORCHESTER WEALTH MANAGEMENT Co", 147566, 4793, "12/31/2016"
"Boston Family Office LLC", 146949, 4773, "12/31/2016"
"Dorsey & Whitney Trust CO LLC", 146626, 4761, "12/31/2016"
"Ferguson Wellman Capital Management Inc.", 145991, 4742, "12/31/2016"
"Mogy Joel R Investment Counsel Inc.", 145304, 4719, "12/31/2016"
"YHB Investment Advisors Inc.", 143898, 4674, "12/31/2016"
"Voya Financial Advisors Inc.", 143806, 4672, "12/31/2016"
"Strategic Wealth Advisors Group LLC", 143301, 4654, "12/31/2016"
"Capital Planning Advisors LLC", 143296, 4654, "12/31/2016"
"Fiduciary Group LLC", 143030, 4646, "12/31/2016"
"Kohlberg Kravis Roberts & Co. L.P.", 142000, 4612, "12/31/2016"
"Guardian Capital Advisors LP", 136655, 4593, "12/31/2016"
"B.S. Pension Fund Trustee Ltd acting for the British Steel Pension Fund", 141062, 4582, "12/31/2016"
"Argus Investors Counsel Inc.", 140925, 4577, "12/31/2016"
"First National Trust Co.", 140808, 4573, "12/31/2016"
"RiverPoint Capital Management LLC", 139911, 4544, "12/31/2016"
"Analyst IMS Investment Management Services Ltd.", 139497, 4531, "12/31/2016"
"Town & Country Bank & Trust CO dba First Bankers Trust CO", 139229, 4522, "12/31/2016"
"Northpointe Capital LLC", 139121, 4519, "12/31/2016"
"Endurant Capital Management LP", 139100, 4518, "12/31/2016"
"MAI Capital Management", 138396, 4495, "12/31/2016"
"Farmers & Merchants Investments Inc.", 138132, 4487, "12/31/2016"
"First Personal Financial Services", 136674, 4439, "12/31/2016"
"Walter & Keenan Financial Consulting Co. MI ADV", 136230, 4425, "12/31/2016"
"Greenwich Wealth Management LLC", 136042, 4419, "12/31/2016"
"Wilbanks Smith & Thomas Asset Management LLC", 135191, 4391, "12/31/2016"
"Farmers Trust Co.", 135216, 4391, "12/31/2016"
"Harvey Capital Management Inc.", 135150, 4389, "12/31/2016"
"Crossvault Capital Management LLC", 134439, 4367, "12/31/2016"
"Stockman Wealth Management Inc.", 134326, 4363, "12/31/2016"
"Strategic Financial Services Inc", 134284, 4362, "12/31/2016"
"Wetherby Asset Management Inc.", 134248, 4361, "12/31/2016"
"Rockland Trust Co.", 133991, 4352, "12/31/2016"
"Pensionfund Sabic", 133500, 4336, "12/31/2016"
"Burney Co.", 133430, 4334, "12/31/2016"
"Leavell Investment Management Inc.", 133181, 4326, "12/31/2016"
"Sand Hill Global Advisors LLC", 132945, 4318, "12/31/2016"
"Dixon Hubard Feinour & Brown Inc. VA", 132727, 4311, "12/31/2016"
"Stratos Wealth Partners LTD.", 132713, 4311, "12/31/2016"
"Tower Research Capital LLC TRC", 132460, 4302, "12/31/2016"
"Peoples Financial Services CORP.", 122118, 4299, "12/31/2016"
"Level Four Advisory Services LLC", 132271, 4296, "12/31/2016"
"Forester Capital Management LTD", 131732, 4279, "12/31/2016"
"Oakwood Capital Management LLC CA", 131662, 4276, "12/31/2016"
"D L Carlson Investment Group Inc.", 131410, 4268, "12/31/2016"
"Green Square Capital LLC", 131281, 4264, "12/31/2016"
"Hanson & Doremus Investment Management", 131237, 4263, "12/31/2016"
"Tyers Asset Management LLC", 130174, 4228, "12/31/2016"
"Mandatum Life Insurance Co Ltd", 130150, 4227, "12/31/2016"
"Trustmark National Bank Trust Department", 130059, 4224, "12/31/2016"
"Summit Global Investments", 130042, 4224, "12/31/2016"
"BTC Capital Management Inc.", 129127, 4193, "12/31/2016"
"Buckingham Capital Management Inc.", 128491, 4173, "12/31/2016"
"Pittenger & Anderson Inc.", 127481, 4141, "12/31/2016"
"Marshwinds Advisory Co.", 127457, 4140, "12/31/2016"
"Advisors Management Group Inc. ADV", 127435, 4139, "12/31/2016"
"Windsor Financial Group LLC", 127397, 4138, "12/31/2016"
"Iowa State Bank", 127139, 4129, "12/31/2016"
"AR Asset Management Inc.", 127050, 4127, "12/31/2016"
"Bronfman E.L. Rothschild L.P.", 127062, 4127, "12/31/2016"
"Tealwood Asset Management Inc.", 126951, 4123, "12/31/2016"
"North Star Investment Management Corp.", 126451, 4107, "12/31/2016"
"Monarch Capital Management Inc.", 126419, 4106, "12/31/2016"
"Narwhal Capital Management", 126322, 4103, "12/31/2016"
"Bank Hapoalim BM", 126144, 4097, "12/31/2016"
"Rikoon Group LLC", 125923, 4073, "12/31/2016"
"Beech Hill Advisors Inc.", 125251, 4068, "12/31/2016"
"Ironsides Asset Advisors LLC", 124897, 4057, "12/31/2016"
"Mutual of Omaha Bank Wealth Management", 124166, 4032, "12/31/2016"
"FTB Advisors Inc.", 119909, 4019, "12/31/2016"
"SVA Plumb Wealth Management LLC", 123292, 4005, "12/31/2016"
"Lincoln National Corp", 123202, 4002, "12/31/2016"
"Hyman Charles D", 122914, 3992, "12/31/2016"
"Destination Wealth Management", 122545, 3980, "12/31/2016"
